c	seed = 1
c
c	Grid directed network
c
T	g d
c
c	d = 4
c
N	25
c
A	80
c
k	3
c
c	5x5
c
s	1
c
t	25
c
a	3 4 999 80 30 
a	12 17 1 274 92 
a	8 3 998 990 168 
a	14 15 1 483 56 
a	8 7 498 163 659 
a	21 16 213 184 439 
a	1 6 1 64 982 
a	12 7 130 851 245 
a	10 15 998 189 425 
a	23 22 306 820 606 
a	24 23 600 469 47 
a	13 14 999 940 931 
a	21 22 1 458 439 
a	11 6 831 89 222 
a	11 12 1 808 514 
a	13 12 1 607 966 
a	22 23 912 872 802 
a	7 8 1 94 566 
a	19 24 560 1 787 
a	22 17 517 587 756 
a	7 6 298 157 8 
a	2 7 1 1 312 
a	6 11 1 1 601 
a	23 18 308 404 42 
a	9 14 1 209 778 
a	17 12 141 655 265 
a	13 18 999 758 487 
a	7 12 1 754 292 
a	20 25 1 380 332 
a	10 9 762 946 795 
a	4 3 1 758 695 
a	17 18 999 549 836 
a	15 10 372 321 499 
a	8 13 1 86 626 
a	3 2 1 631 919 
a	24 19 999 545 677 
a	25 24 987 828 376 
a	8 9 999 803 856 
a	2 3 1 69 194 
a	5 10 1 487 579 
a	11 16 995 815 498 
a	17 22 202 691 145 
a	6 1 999 944 158 
a	15 14 999 938 452 
a	15 20 384 676 947 
a	9 10 1 217 585 
a	16 17 1 732 176 
a	20 19 467 457 808 
a	19 14 417 28 764 
a	12 11 429 356 849 
a	7 2 560 637 941 
a	18 19 472 1 934 
a	14 9 415 885 707 
a	14 13 999 210 343 
a	18 13 198 683 592 
a	14 19 1 92 210 
a	5 4 922 143 55 
a	12 13 1 284 296 
a	2 1 675 27 802 
a	19 20 12 547 890 
a	6 7 1 345 947 
a	20 15 1 760 623 
a	4 9 1 629 978 
a	19 18 476 616 608 
a	16 21 483 984 449 
a	18 17 893 495 495 
a	16 11 508 543 534 
a	23 24 173 910 370 
a	9 8 586 147 378 
a	17 16 722 72 506 
a	4 5 1 272 43 
a	22 21 32 90 159 
a	13 8 1 318 43 
a	18 23 970 934 133 
a	1 2 564 733 633 
a	9 4 14 465 998 
a	10 5 588 668 414 
a	24 25 1 297 492 
a	3 8 999 142 975 
a	25 20 783 591 201 
