c	seed = 1
c
c	Grid directed network
c
T	g d
c
c	d = 4
c
N	100
c
A	360
c
k	3
c
c	10x10
c
s	1
c
t	100
c
a	27 17 245 239 543 
a	84 85 469 386 732 
a	3 13 999 758 223 
a	50 40 441 260 929 
a	41 42 32 326 945 
a	51 52 217 723 219 
a	5 6 1 685 287 
a	16 6 934 262 538 
a	54 53 492 94 346 
a	80 70 930 382 489 
a	26 16 222 393 381 
a	52 53 189 184 261 
a	71 81 318 525 21 
a	1 2 563 457 746 
a	19 18 378 89 425 
a	14 15 1 544 367 
a	92 91 505 703 319 
a	45 44 359 520 126 
a	63 64 910 31 502 
a	36 26 495 483 195 
a	7 17 999 440 87 
a	85 84 209 237 408 
a	15 25 483 25 628 
a	86 96 312 277 931 
a	82 92 591 392 939 
a	64 65 27 346 257 
a	29 28 42 396 23 
a	13 14 999 549 892 
a	67 57 956 561 711 
a	81 82 404 273 581 
a	51 41 116 375 994 
a	90 100 601 666 866 
a	52 62 808 458 106 
a	97 96 239 462 818 
a	4 14 1 395 372 
a	42 41 768 837 441 
a	43 44 733 750 108 
a	66 67 758 770 982 
a	55 56 758 180 756 
a	65 64 337 281 990 
a	83 82 39 542 736 
a	99 89 280 938 307 
a	16 17 999 986 120 
a	46 47 272 786 42 
a	65 66 631 995 436 
a	12 13 1 267 808 
a	95 96 585 594 574 
a	93 94 856 839 703 
a	23 13 695 939 787 
a	18 17 659 413 668 
a	57 47 874 75 357 
a	75 85 210 744 705 
a	33 23 592 229 110 
a	32 22 265 875 854 
a	85 75 988 824 122 
a	34 33 65 985 170 
a	73 83 356 820 304 
a	43 33 507 586 105 
a	64 54 361 544 796 
a	69 68 979 631 440 
a	32 31 606 510 421 
a	93 92 518 432 759 
a	31 41 429 848 896 
a	68 67 6 674 464 
a	49 50 754 219 962 
a	46 36 685 383 495 
a	88 89 43 52 249 
a	28 27 756 614 146 
a	98 97 119 355 101 
a	62 61 575 530 735 
a	56 46 894 752 951 
a	57 58 732 215 596 
a	98 99 514 474 675 
a	28 29 130 288 244 
a	18 8 332 271 845 
a	76 77 683 244 300 
a	54 44 839 841 157 
a	55 54 78 926 575 
a	94 93 461 189 267 
a	80 90 616 732 330 
a	37 27 608 797 795 
a	11 21 1 275 471 
a	92 93 292 864 249 
a	58 59 549 957 365 
a	32 42 1 333 236 
a	31 32 372 329 345 
a	87 77 142 754 521 
a	30 29 677 286 534 
a	44 43 561 726 923 
a	57 67 984 27 116 
a	20 30 912 278 132 
a	43 42 969 674 994 
a	35 25 506 301 496 
a	63 73 297 219 124 
a	12 22 999 557 9 
a	77 76 100 718 819 
a	3 2 931 30 431 
a	24 34 998 470 289 
a	35 45 1 837 449 
a	65 75 637 255 19 
a	41 31 47 169 226 
a	87 86 552 769 746 
a	75 76 655 824 19 
a	2 3 1 925 814 
a	81 91 457 78 274 
a	98 88 95 2 128 
a	74 64 128 505 151 
a	8 7 133 946 758 
a	35 36 417 367 432 
a	89 88 909 666 645 
a	2 1 296 980 681 
a	33 32 376 889 760 
a	38 28 808 919 98 
a	34 44 999 433 488 
a	90 89 491 35 874 
a	29 19 707 696 637 
a	5 15 1 536 938 
a	11 1 92 257 172 
a	23 24 1 325 845 
a	79 89 587 701 743 
a	94 84 723 385 688 
a	12 11 492 972 92 
a	38 37 93 245 572 
a	85 95 982 819 895 
a	50 60 86 511 652 
a	22 32 999 597 288 
a	73 63 997 136 279 
a	60 59 21 999 822 
a	6 5 449 804 154 
a	61 62 1 548 869 
a	84 94 828 986 472 
a	97 87 408 229 279 
a	77 87 760 722 929 
a	67 66 602 593 26 
a	38 48 308 68 16 
a	54 55 274 38 432 
a	47 57 345 975 429 
a	17 16 8 182 749 
a	48 38 574 572 468 
a	73 74 321 236 305 
a	95 94 934 83 830 
a	72 82 885 204 952 
a	21 31 1 461 694 
a	16 26 202 617 621 
a	24 23 343 718 725 
a	66 56 433 375 463 
a	8 18 1 605 157 
a	40 30 159 301 249 
a	88 87 254 777 306 
a	76 75 226 632 47 
a	71 61 678 127 831 
a	37 36 761 404 106 
a	99 100 498 754 365 
a	76 66 187 125 766 
a	25 24 452 844 162 
a	40 39 898 976 609 
a	6 7 1 687 455 
a	47 46 132 440 541 
a	68 69 668 69 102 
a	34 24 764 577 397 
a	4 3 56 285 674 
a	18 28 560 795 852 
a	29 30 1 737 250 
a	20 19 795 719 685 
a	86 76 711 530 635 
a	44 34 629 811 103 
a	59 69 934 339 499 
a	69 59 446 94 190 
a	51 61 209 394 723 
a	31 21 534 756 960 
a	36 35 2 830 539 
a	87 97 975 358 816 
a	94 95 626 178 588 
a	10 9 439 874 677 
a	83 84 90 788 578 
a	42 32 952 374 535 
a	17 18 472 10 230 
a	43 53 64 44 527 
a	44 45 69 854 274 
a	24 25 1 240 797 
a	48 47 621 864 553 
a	75 65 852 61 489 
a	39 49 999 836 533 
a	26 36 298 851 421 
a	25 26 922 39 71 
a	88 78 526 59 197 
a	9 10 1 715 23 
a	22 21 849 492 895 
a	53 43 696 914 915 
a	58 48 810 34 497 
a	14 24 384 273 3 
a	36 46 213 959 899 
a	77 78 28 37 357 
a	24 14 55 178 326 
a	15 16 1 783 578 
a	25 15 414 96 438 
a	80 79 208 400 615 
a	34 35 198 93 847 
a	17 27 970 830 137 
a	100 99 462 692 143 
a	63 62 98 834 834 
a	28 18 43 697 480 
a	55 65 483 741 486 
a	15 14 168 145 348 
a	56 57 92 869 381 
a	52 42 162 72 242 
a	82 81 897 296 800 
a	70 80 851 854 446 
a	62 72 872 221 544 
a	54 64 940 694 103 
